BirdID,Airport,DOC,N6,Weight,Bursa,Spleen,Sum_r
18EWR061401,EWR,6/14/2018,0,70.8,0.216,0.1645,3.5175
18EWR061402,EWR,6/14/2018,0,74.32,0.2299,0.2265,3.5175
18EWR061403,EWR,6/14/2018,1,67.17,0.1899,0.1994,3.5175
18EWR061501,EWR,6/15/2018,0,65.55,NA,NA,3.5175
18EWR061502,EWR,6/15/2018,0,62.35,NA,NA,3.5175
18EWR061503,EWR,6/15/2018,1,54.6,NA,NA,3.5175
18EWR061504,EWR,6/15/2018,1,54.69,NA,NA,3.5175
18EWR061505,EWR,6/15/2018,0,60.13,NA,NA,3.5175
18EWR061506,EWR,6/15/2018,2,55.05,NA,NA,3.5175
18EWR061507,EWR,6/15/2018,0,71.77,NA,NA,3.5175
18EWR061508,EWR,6/15/2018,1,62.26,NA,NA,3.5175
18EWR061509,EWR,6/15/2018,1,64.36,NA,NA,3.5175
18EWR061510,EWR,6/15/2018,0,70.1,NA,NA,3.5175
18EWR061511,EWR,6/15/2018,0,52.9,NA,NA,3.5175
18EWR061512,EWR,6/15/2018,1,59.06,NA,NA,3.5175
18EWR061513,EWR,6/15/2018,1,71.05,NA,NA,3.5175
18EWR061514,EWR,6/15/2018,4,63.99,NA,NA,3.5175
18EWR061515,EWR,6/15/2018,0,48.94,NA,NA,3.5175
18EWR061516,EWR,6/15/2018,0,59.11,NA,NA,3.5175
18EWR061517,EWR,6/15/2018,0,65.63,NA,NA,3.5175
18EWR061518,EWR,6/15/2018,0,53.04,NA,NA,3.5175
18EWR061519,EWR,6/15/2018,0,50.65,NA,NA,3.5175
18EWR061520,EWR,6/15/2018,2,65.42,NA,NA,3.5175
18EWR062101,EWR,6/21/2018,1,59.76,0.1063,NA,3.5175
18EWR062102,EWR,6/21/2018,1,46.89,0.0613,0.0446,3.5175
18EWR062103,EWR,6/21/2018,0,60.37,0.0977,0.0752,3.5175
18EWR062104,EWR,6/21/2018,0,56.72,0.0572,0.0815,3.5175
18EWR062105,EWR,6/21/2018,0,53.61,0.0599,0.0724,3.5175
18EWR062106,EWR,6/21/2018,0,53.83,0.0506,0.0893,3.5175
18EWR062107,EWR,6/21/2018,0,63.68,0.0622,NA,3.5175
