BirdID,DOC,Weight,Bursa,Spleen,N6,Airport,Sum_r
19EWR052402,5/24/2019,70.65,0.1105,0.1105,0,EWR,4.17
19EWR052401,5/24/2019,65.33,NA,0.17,0,EWR,4.17
19EWR052901,5/29/2019,52.06,0.1002,0.0681,0,EWR,4.17
19EWR052907,5/29/2019,63.93,0.1101,0.1072,2,EWR,4.17
19EWR052906,5/29/2019,56.98,0.2071,0.1206,4,EWR,4.17
19EWR052904,5/29/2019,66.85,0.186,0.14,2,EWR,4.17
19EWR052909,5/29/2019,63.79,0.089,0.1438,0,EWR,4.17
19EWR052908,5/29/2019,66.23,0.1318,0.1793,0,EWR,4.17
19EWR052905,5/29/2019,67.84,0.1159,0.1907,4,EWR,4.17
19EWR052910,5/29/2019,61.88,0.1771,0.1973,3,EWR,4.17
19EWR052903,5/29/2019,77.41,NA,0.2132,0,EWR,4.17
19EWR052902,5/29/2019,75.66,0.1423,0.305,2,EWR,4.17
19EWR053101,5/31/2019,53.97,0.0752,0.0517,4,EWR,4.17
19EWR053104,5/31/2019,54.74,0.0965,0.0564,9,EWR,4.17
19EWR053102,5/31/2019,66.95,0.1281,0.1054,2,EWR,4.17
19EWR053103,5/31/2019,63.59,0.2211,0.1128,1,EWR,4.17
19JFK060105,6/1/2019,67.71,0.1652,0.0658,2,JFK,6.2625
19JFK060112,6/1/2019,72.57,0.1922,0.1023,1,JFK,6.2625
19JFK060119,6/1/2019,73.2,0.162,0.1056,2,JFK,6.2625
19JFK060103,6/1/2019,67.9,0.1392,0.1167,1,JFK,6.2625
19JFK060102,6/1/2019,75.8,0.174,0.1255,3,JFK,6.2625
19JFK060113,6/1/2019,71.09,0.1337,0.1298,2,JFK,6.2625
19JFK060109,6/1/2019,73.06,0.1662,0.1332,12,JFK,6.2625
19JFK060117,6/1/2019,77.39,0.2098,0.1366,1,JFK,6.2625
19JFK060120,6/1/2019,67.23,0.2264,0.1648,0,JFK,6.2625
19JFK060104,6/1/2019,70.78,0.1375,0.1677,0,JFK,6.2625
19JFK060111,6/1/2019,64.92,0.2033,0.1876,1,JFK,6.2625
19JFK060108,6/1/2019,75.77,0.1887,0.1969,0,JFK,6.2625
19JFK060106,6/1/2019,67.12,0.1138,0.1998,4,JFK,6.2625
19JFK060116,6/1/2019,72.29,0.1562,0.2268,2,JFK,6.2625
19JFK060107,6/1/2019,70.53,0.1378,0.2366,5,JFK,6.2625
19JFK060114,6/1/2019,60.07,0.0841,0.2458,1,JFK,6.2625
19JFK060118,6/1/2019,68.42,0.1279,0.3133,4,JFK,6.2625
19JFK060101,6/1/2019,68.85,0.1287,0.3165,15,JFK,6.2625
19JFK060115,6/1/2019,76.79,0.1836,0.3301,2,JFK,6.2625
19JFK060110,6/1/2019,68.78,0.1127,0.4922,1,JFK,6.2625
19EWR061203,6/12/2019,51.78,0.074,0.0538,2,EWR,6.2625
19EWR061201,6/12/2019,51.91,0.0787,0.0546,4,EWR,6.2625
19EWR061204,6/12/2019,55.78,0.1076,0.1097,3,EWR,6.2625
19EWR061202,6/12/2019,53.62,0.1043,0.1171,0,EWR,6.2625
19EWR061205,6/12/2019,60.09,0.0927,0.1274,4,EWR,6.2625
19EWR061303,6/13/2019,49.15,0.1372,0.0562,0,EWR,6.2625
19EWR061301,6/13/2019,60.48,0.0732,0.0729,0,EWR,6.2625
19EWR061302,6/13/2019,59.87,0.1463,0.08,2,EWR,6.2625
19EWR061304,6/13/2019,58.27,0.1206,0.1058,1,EWR,6.2625
